project,id,mutant,toolASTDifferencing,toolCosine,toolStringDistance,toolVariable,toolSyntax,toolSemantic,s3tool,capgentool,correct
Gson,5,mutant-8,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Gson,5,mutant-9,1.0,0.0,1.0,0.5,1.0,0.8666666666666667,2.0,0.43333333333333335,FALSE
Gson,6,mutant-1,7.0,0.20593333282325588,3.0,0.5,0.42790697674418604,1.0,10.205933332823257,0.21395348837209302,TRUE
Gson,6,mutant-2,7.0,0.0,0.0,1.0,1.0,0.5921052631578947,7.0,0.5921052631578947,TRUE
JacksonCore,11,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,11,mutant-2,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,FALSE
JacksonCore,11,mutant-3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,11,mutant-4,6.0,0.25,1.0,0.3333333333333333,0.4375,0.25,7.25,0.03645833333333333,FALSE
JacksonCore,11,mutant-5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,11,mutant-6,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,FALSE
JacksonCore,11,mutant-7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,11,mutant-8,1.0,0.0,1.0,0.0,1.0,0.5833333333333334,2.0,0.0,FALSE
JacksonCore,11,mutant-9,4.0,0.18350341907227385,1.0,0.3333333333333333,0.7,1.0,5.183503419072274,0.2333333333333333,FALSE
JacksonCore,17,mutant-1,4.0,0.49604736932103044,2.0,0.0,0.30434782608695654,0.021739130434782608,6.4960473693210306,0.0,FALSE
JacksonCore,17,mutant-10,1.0,0.0,0.0,1.0,1.0,0.125,1.0,0.125,FALSE
JacksonCore,17,mutant-11,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,17,mutant-12,7049.0,1.0,2744.0,0.0,0.0,0.0,9794.0,0.0,FALSE
JacksonCore,17,mutant-13,6.0,0.286442140453266,12.0,0.1875,0.2,0.5,18.286442140453268,0.018750000000000003,FALSE
JacksonCore,17,mutant-14,1.0,0.0,1.0,0.3333333333333333,1.0,0.3235294117647059,2.0,0.10784313725490197,FALSE
JacksonCore,17,mutant-15,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
JacksonCore,17,mutant-2,1.0,0.0,0.0,1.0,1.0,0.78125,1.0,0.78125,FALSE
JacksonCore,17,mutant-3,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
JacksonCore,17,mutant-4,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
JacksonCore,17,mutant-5,4.0,0.49604736932103044,2.0,0.0,0.30434782608695654,0.021739130434782608,6.4960473693210306,0.0,FALSE
JacksonCore,17,mutant-6,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,FALSE
JacksonCore,17,mutant-7,1.0,0.0,1.0,0.6,1.0,1.0,2.0,0.6,FALSE
JacksonCore,17,mutant-8,1.0,0.0,1.0,0.3333333333333333,1.0,0.125,2.0,0.041666666666666664,FALSE
JacksonCore,17,mutant-9,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
JacksonCore,19,mutant-1,7.0,0.2440710539815456,2.0,0.4,1.0,0.4,9.244071053981546,0.16000000000000003,FALSE
JacksonCore,19,mutant-10,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
JacksonCore,19,mutant-11,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,19,mutant-12,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,19,mutant-13,4.0,0.4836022205056778,2.0,0.0,0.3,0.07692307692307693,6.483602220505678,0.0,FALSE
JacksonCore,19,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,19,mutant-3,5.0,0.0,0.0,1.0,0.4634146341463415,0.3333333333333333,5.0,0.15447154471544716,FALSE
JacksonCore,19,mutant-4,2.0,0.05719095841793653,1.0,0.5,1.0,1.0,3.0571909584179364,0.5,FALSE
JacksonCore,19,mutant-5,2.0,0.0,0.0,1.0,1.0,0.7222222222222222,2.0,0.7222222222222222,FALSE
JacksonCore,19,mutant-6,2.0,0.05719095841793653,1.0,0.5,1.0,0.7222222222222222,3.0571909584179364,0.3611111111111111,FALSE
JacksonCore,19,mutant-7,7.0,0.2440710539815456,2.0,0.4,1.0,0.4,9.244071053981546,0.16000000000000003,FALSE
JacksonCore,19,mutant-8,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
JacksonCore,19,mutant-9,2.0,0.0,0.0,1.0,1.0,0.7222222222222222,2.0,0.7222222222222222,FALSE
JacksonCore,21,mutant-10,5.0,0.0,0.0,1.0,0.6444444444444445,0.4,5.0,0.25777777777777783,FALSE
JacksonCore,21,mutant-15,8.0,0.2022759647825344,0.0,1.0,0.4411764705882353,1.0,8.202275964782535,0.4411764705882353,FALSE
JacksonCore,21,mutant-19,4.0,0.49604736932103044,2.0,0.0,0.4482758620689655,1.0,6.4960473693210306,0.0,FALSE
JacksonCore,21,mutant-20,4.0,0.49604736932103044,2.0,0.0,0.4,0.01680672268907563,6.4960473693210306,0.0,FALSE
JacksonCore,25,mutant-11,6.0,0.5917517095361369,1.0,0.0,0.13636363636363635,0.09090909090909091,7.591751709536137,0.0,FALSE
JacksonCore,25,mutant-13,6.0,0.7538170180413346,4.0,0.0,0.38164251207729466,1.0,10.753817018041335,0.0,FALSE
JacksonCore,25,mutant-15,5.0,0.17537887487646797,1.0,0.3333333333333333,0.7439024390243902,0.2222222222222222,6.175378874876468,0.05510388437217705,FALSE
JacksonCore,25,mutant-16,3.0,0.0834848610088319,1.0,0.3333333333333333,0.9538461538461539,0.9354838709677419,4.083484861008832,0.2974358974358974,FALSE
JacksonCore,25,mutant-17,3.0,0.06256313343890785,1.0,0.5,0.976303317535545,0.7272727272727273,4.062563133438908,0.35501938819474366,FALSE
JacksonCore,25,mutant-20,5.0,0.0,0.0,1.0,0.6567164179104478,0.3333333333333333,5.0,0.21890547263681592,FALSE
JacksonCore,25,mutant-21,15.0,0.0,0.0,1.0,0.7529761904761905,0.6697247706422018,15.0,0.5042868064657056,FALSE
JacksonCore,25,mutant-22,3.0,0.0834848610088319,1.0,0.3333333333333333,0.9538461538461539,0.9354838709677419,4.083484861008832,0.2974358974358974,FALSE
JacksonCore,25,mutant-27,3.0,0.06256313343890785,1.0,0.5,1.0,0.7272727272727273,4.062563133438908,0.36363636363636365,FALSE
JacksonCore,25,mutant-28,5.0,0.17537887487646797,1.0,0.3333333333333333,0.7439024390243902,0.2222222222222222,6.175378874876468,0.05510388437217705,FALSE
JacksonCore,25,mutant-29,5.0,0.17537887487646797,1.0,0.3333333333333333,0.7439024390243902,0.25,6.175378874876468,0.061991869918699184,FALSE
JacksonCore,25,mutant-30,2.0,0.10557280900008414,0.0,1.0,0.46153846153846156,0.3333333333333333,2.1055728090000843,0.15384615384615385,FALSE
JacksonCore,25,mutant-31,6.0,0.23529411764705888,1.0,0.3333333333333333,0.6639344262295082,0.15384615384615385,7.235294117647059,0.03404791929382093,FALSE
JacksonCore,25,mutant-33,3.0,0.0834848610088319,1.0,0.3333333333333333,0.9538461538461539,0.9354838709677419,4.083484861008832,0.2974358974358974,FALSE
JacksonCore,25,mutant-34,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,FALSE
JacksonCore,25,mutant-35,7.0,0.3876275643042054,0.0,1.0,0.36363636363636365,0.18181818181818182,7.387627564304205,0.06611570247933884,FALSE
JacksonCore,25,mutant-36,3.0,0.0834848610088319,1.0,0.3333333333333333,0.9538461538461539,0.20689655172413793,4.083484861008832,0.06578249336870026,FALSE
JacksonCore,25,mutant-37,3.0,0.0834848610088319,1.0,0.3333333333333333,0.9538461538461539,0.20689655172413793,4.083484861008832,0.06578249336870026,FALSE
JacksonCore,25,mutant-40,15.0,0.1474021599117924,1.0,0.7142857142857143,0.7529761904761905,0.6697247706422018,16.147402159911792,0.3602048617612183,FALSE
JacksonCore,25,mutant-41,15.0,0.1474021599117924,1.0,0.7142857142857143,0.7529761904761905,0.6697247706422018,16.147402159911792,0.3602048617612183,FALSE
JacksonCore,25,mutant-5,3.0,0.06256313343890785,1.0,0.5,0.976303317535545,0.7272727272727273,4.062563133438908,0.35501938819474366,FALSE
JacksonCore,25,mutant-6,3.0,0.0,0.0,1.0,0.9538461538461539,0.20689655172413793,3.0,0.19734748010610081,FALSE
JacksonCore,25,mutant-7,8.0,0.3030679475628304,1.0,0.3333333333333333,0.5922330097087378,0.18181818181818182,9.30306794756283,0.03589290967931744,FALSE
JacksonCore,25,mutant-9,6.0,0.23529411764705888,1.0,0.3333333333333333,0.6639344262295082,0.15384615384615385,7.235294117647059,0.03404791929382093,FALSE
JacksonCore,4,mutant-1,5.0,0.02732998580107393,3.0,0.7272727272727273,0.7108433734939759,0.7320261437908496,8.027329985801074,0.37844067893678096,FALSE
JacksonCore,4,mutant-2,10.0,0.0,0.0,1.0,0.8795180722891566,0.8823529411764706,10.0,0.776045357902197,FALSE
JacksonCore,5,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,5,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
JacksonCore,5,mutant-3,5.0,0.7113248654051871,3.0,0.0,0.3333333333333333,0.2,8.711324865405187,0.0,FALSE
JacksonCore,5,mutant-4,1.0,0.0,1.0,0.6,1.0,1.0,2.0,0.6,FALSE
JacksonCore,5,mutant-5,8.0,0.033908216920704115,2.0,0.5,0.4152046783625731,0.42857142857142855,10.033908216920704,0.08897243107769423,FALSE
JacksonCore,5,mutant-6,3.0,0.045478595781576425,0.0,1.0,0.7575757575757576,0.6933333333333334,3.045478595781576,0.5252525252525253,TRUE
JacksonCore,5,mutant-7,5.0,0.07017543859649122,1.0,0.6666666666666666,1.0,0.8620689655172413,6.0701754385964914,0.5747126436781609,FALSE
JacksonCore,8,mutant-1,3.0,0.0871290708247231,1.0,0.3333333333333333,0.9318181818181818,0.6363636363636364,4.087129070824723,0.19765840220385672,FALSE
JacksonCore,8,mutant-2,3.0,0.0715233091147407,1.0,0.5,0.9354838709677419,0.8,4.071523309114741,0.3741935483870968,FALSE
JacksonCore,8,mutant-3,3.0,0.0834848610088319,1.0,0.3333333333333333,0.9361702127659575,1.0,4.083484861008832,0.3120567375886525,FALSE
